Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2008-09-13	Hurricane	CONROE	No	13	$1,988,169.32
2008-09-13	Hurricane	CONROE INDEPENDENT SCHOOL DIST (ISD)	Yes	109	$274,593.77
2008-09-13	Hurricane	CORINTHIAN POINT MUNICIPAL UTILITY DISTRICT 2	No	1	$10,983.00
2008-09-13	Hurricane	CUT AND SHOOT	No	1	$10,840.00
2008-09-13	Hurricane	EAST MONTGOMERY COUNTY MUNICIPAL UTILITY DISTRICT 3	No	2	$15,862.14
2008-09-13	Hurricane	FAR HILLS UTILITY DISTRICT	No	3	$38,482.60
2008-09-13	Hurricane	LAKE CONROE FIRE DEPARTMENT	No	3	$15,594.04
2008-09-13	Hurricane	LAKE CONROE HILLS MUNICIPAL UTILITY DISTRICT	No	1	$15,963.19
2008-09-13	Hurricane	LAKE SOUTH WATER SUPPLY	No	1	$8,055.47
2008-09-13	Hurricane	LAZY RIVER IMPROVEMENT DISTRICT	No	2	$11,478.80
2008-09-13	Hurricane	MAGNOLIA	No	3	$49,268.12
2008-09-13	Hurricane	MAGNOLIA INDEPENDENT SCHOOL DISTRICT	Yes	15	$398,197.60
2008-09-13	Hurricane	MONTGOMERY	No	5	$51,211.00
2008-09-13	Hurricane	MONTGOMERY (COUNTY)	No	23	$22,392,884.88
2008-09-13	Hurricane	MONTGOMERY COUNTY DRAINAGE DISTRICT 10	No	2	$65,834.20
2008-09-13	Hurricane	MONTGOMERY COUNTY DRAINAGE DISTRICT 6	No	6	$316,241.72
2008-09-13	Hurricane	MONTGOMERY COUNTY EMERGENCY COMMUNICATION DIST	No	1	$2,409.48
2008-09-13	Hurricane	MONTGOMERY COUNTY EMERGENCY SERVICE DISTRICT 7	No	1	$18,685.55
2008-09-13	Hurricane	MONTGOMERY COUNTY EMERGENCY SERVICE DISTRICT 8	No	2	$37,944.47
2008-09-13	Hurricane	MONTGOMERY COUNTY EMERGENCY SERVICE DISTRICT 9	No	2	$35,297.17
2008-09-13	Hurricane	MONTGOMERY COUNTY EMERGENCY SERVICES DISTRICT 10	No	3	$24,985.61
2008-09-13	Hurricane	MONTGOMERY COUNTY EMERGENCY SERVICES DISTRICT 5	No	3	$20,643.46
2008-09-13	Hurricane	MONTGOMERY COUNTY ESD  1	No	2	$63,286.97
2008-09-13	Hurricane	MONTGOMERY COUNTY ESD 12	No	2	$16,810.70
2008-09-13	Hurricane	MONTGOMERY COUNTY ESD 2	No	1	$24,179.00
2008-09-13	Hurricane	MONTGOMERY COUNTY ESD  6	No	2	$25,733.52
2008-09-13	Hurricane	MONTGOMERY COUNTY HOSPITAL DISTRICT	No	3	$121,760.27
2008-09-13	Hurricane	MONTGOMERY COUNTY MUNICIPAL UTILITY DIST 15	No	2	$5,831.60
2008-09-13	Hurricane	MONTGOMERY COUNTY MUNICIPAL UTILITY DIST 9	No	2	$24,634.14
2008-09-13	Hurricane	MONTGOMERY COUNTY MUNICIPAL UTILITY DIST 99	No	1	$2,126.00
2008-09-13	Hurricane	MONTGOMERY COUNTY MUNICIPAL UTILITY DISTRICT 112	No	1	$25,404.00
2008-09-13	Hurricane	MONTGOMERY COUNTY MUNICIPAL UTILITY DISTRICT 115	No	1	$18,509.00
2008-09-13	Hurricane	MONTGOMERY COUNTY MUNICIPAL UTILITY DISTRICT 127	No	1	$1,476.90
2008-09-13	Hurricane	MONTGOMERY COUNTY MUNICIPAL UTILITY DISTRICT 16	No	1	$9,889.41
2008-09-13	Hurricane	MONTGOMERY COUNTY MUNICIPAL UTILITY DISTRICT 18	No	1	$60,257.69
2008-09-13	Hurricane	MONTGOMERY COUNTY MUNICIPAL UTILITY DISTRICT 19	No	3	$35,084.70
2008-09-13	Hurricane	MONTGOMERY COUNTY MUNICIPAL UTILITY DISTRICT 42	No	1	$4,729.72
2008-09-13	Hurricane	MONTGOMERY COUNTY MUNICIPAL UTILITY DISTRICT 56	No	1	$2,779.25
2008-09-13	Hurricane	MONTGOMERY COUNTY MUNICIPAL UTILITY DISTRICT 8	No	1	$72,815.51
2008-09-13	Hurricane	MONTGOMERY COUNTY MUNICIPAL UTILITY DISTRICT 83	No	1	$16,254.37
2008-09-13	Hurricane	MONTGOMERY COUNTY MUNICIPAL UTILITY DISTRICT 89	No	1	$157,719.27
2008-09-13	Hurricane	MONTGOMERY COUNTY UTILITY DISTRICT 2	No	2	$43,729.61
2008-09-13	Hurricane	MONTGOMERY COUNTY UTILITY DISTRICT 3	No	1	$29,830.03
2008-09-13	Hurricane	MONTGOMERY COUNTY UTILITY DISTRICT 4	No	1	$45,028.22
2008-09-13	Hurricane	MONTGOMERY COUNTY WCID 1	No	7	$199,261.09
2008-09-13	Hurricane	MONTGOMERY ISD	No	9	$22,799.88
2008-09-13	Hurricane	NEEDHAM FIRE DEPT	No	1	$2,031.46
2008-09-13	Hurricane	NEW CANEY INDEPENDENT SCHOOL	Yes	18	$297,853.05
2008-09-13	Hurricane	NEW CANEY MUNICIPAL UTILITY	No	1	$31,165.00
2008-09-13	Hurricane	OAK RIDGE NORTH	No	10	$78,098.58
2008-09-13	Hurricane	PANORAMA VILLAGE	No	5	$61,285.42
2008-09-13	Hurricane	PATTON VILLAGE	No	6	$160,040.02
2008-09-13	Hurricane	PORTER MUNICIPAL UTILITY DISTRICT	No	2	$51,933.46
2008-09-13	Hurricane	PORTER SPECIAL UTILITY DISTRICT	No	2	$41,709.94
2008-09-13	Hurricane	RAYFORD ROAD MUNICIPAL UTILITY DISTRICT	No	4	$141,411.03
2008-09-13	Hurricane	RIVER PLANTATION MUNICIPAL UTILITY DISTRICT	No	2	$43,167.12
2008-09-13	Hurricane	ROMAN FOREST	No	4	$25,683.54
