Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2003-03-11	Snow	ASHBURNHAM (TOWN OF)	No	1	$13,653.10
2003-03-11	Snow	ASHBURNHAM WESTMINSTER REG. SCHOOL	Yes	1	$1,614.20
2003-03-11	Snow	ASSUMPTION COLLEGE	Yes	1	$2,395.01
2003-03-11	Snow	ATHOL MEMORIAL HOSPITAL	No	1	$1,969.44
2003-03-11	Snow	ATHOL (TOWN OF)	No	1	$26,058.51
2003-03-11	Snow	AUBURN (TOWN OF)	No	1	$33,581.72
2003-03-11	Snow	BARRE (TOWN OF)	No	1	$12,140.02
2003-03-11	Snow	BERLIN (TOWN OF)	No	1	$9,799.13
2003-03-11	Snow	BLACKSTONE (TOWN OF)	No	1	$14,668.60
2003-03-11	Snow	BLACKSTONE VALLEY VOC TECH	No	1	$1,549.45
2003-03-11	Snow	BOLTON (TOWN OF)	No	1	$20,118.11
2003-03-11	Snow	BOYLSTON (TOWN OF)	No	1	$12,615.15
2003-03-11	Snow	BROOKFIELD (TOWN OF)	No	1	$2,671.42
2003-03-11	Snow	CHARLTON (TOWN OF)	No	1	$29,756.51
2003-03-11	Snow	CLARK UNIVERSITY	Yes	1	$6,675.27
2003-03-11	Snow	CLINTON (TOWN OF)	No	1	$39,730.70
2003-03-11	Snow	COLLEGE OF THE HOLY CROSS	Yes	1	$10,975.39
2003-03-11	Snow	DOUGLAS (TOWN OF)	No	1	$29,600.30
2003-03-11	Snow	DUDLEY-CHARLTON REGIONAL SCHOOL DIST	Yes	1	$7,129.59
2003-03-11	Snow	DUDLEY (TOWN OF)	No	1	$21,217.62
2003-03-11	Snow	EAST BROOKFIELD (TOWN OF)	No	1	$1,232.18
2003-03-11	Snow	EVERGREEN CENTER	No	1	$2,271.81
2003-03-11	Snow	FITCHBURG	No	1	$106,567.65
2003-03-11	Snow	FITCHBURG HOUSING AUTHORITY	No	1	$1,756.74
2003-03-11	Snow	FITCHBURG STATE COLLEGE	Yes	1	$3,244.39
2003-03-11	Snow	GARDNER, CITY OF	No	1	$37,222.17
2003-03-11	Snow	GARDNER HOUSING AUTHORITY	No	1	$860.47
2003-03-11	Snow	GRAFTON (TOWN OF)	No	1	$38,215.69
2003-03-11	Snow	HARDWICK (TOWN OF)	No	1	$10,973.04
2003-03-11	Snow	HARRINGTON MEMORIAL HOSPITAL	No	1	$9,840.45
2003-03-11	Snow	HARVARD (TOWN OF)	No	1	$13,174.57
2003-03-11	Snow	HEYWOOD HOSPITAL	No	1	$3,545.88
2003-03-11	Snow	HOLDEN (TOWN OF)	No	1	$39,515.03
2003-03-11	Snow	HOPEDALE (TOWN OF)	No	1	$16,090.58
2003-03-11	Snow	HUBBARDSTON (TOWN OF)	No	1	$13,277.53
2003-03-11	Snow	LANCASTER (TOWN OF)	No	1	$13,296.07
2003-03-11	Snow	LEICESTER (TOWN OF)	No	1	$17,178.37
2003-03-11	Snow	LEOMINSTER	No	1	$94,038.36
2003-03-11	Snow	LUNENBURG (TOWN OF)	No	1	$24,889.51
2003-03-11	Snow	MENDON (TOWN OF)	No	1	$18,099.73
2003-03-11	Snow	MILFORD (TOWN OF)	No	1	$51,341.25
2003-03-11	Snow	MILFORD-WHITINSVILLE REG. HOSPITAL	No	1	$3,736.34
2003-03-11	Snow	MILLBURY (TOWN OF)	No	1	$18,679.30
2003-03-11	Snow	MILLVILLE (TOWN OF)	No	1	$9,833.24
2003-03-11	Snow	MONTACHUSETT REGIONAL TRANSIT AUTHORITY	No	1	$4,690.38
2003-03-11	Snow	MT WACHUSETT COMMUNITY COLLEGE	Yes	1	$1,697.76
2003-03-11	Snow	NASHOBA REGIONAL SCHOOL DIST	Yes	1	$7,866.44
2003-03-11	Snow	NEW BRAINTREE (TOWN OF)	No	1	$7,862.17
2003-03-11	Snow	NORTHBOROUGH HOUSING AUTHORITY	No	1	$2,023.87
2003-03-11	Snow	NORTHBOROUGH (TOWN OF)	No	1	$30,535.08
2003-03-11	Snow	NORTHBRIDGE HOUSING AUTHORITY	No	1	$1,337.81
2003-03-11	Snow	NORTHBRIDGE (TOWN OF)	No	1	$23,642.04
2003-03-11	Snow	NORTH BROOKFIELD	No	1	$8,186.03
2003-03-11	Snow	OAKHAM (TOWN OF)	No	1	$7,238.92
2003-03-11	Snow	OXFORD (TOWN OF)	No	1	$32,774.53
2003-03-11	Snow	PAXTON (TOWN OF)	No	1	$8,970.19
2003-03-11	Snow	PERKINS SCHOOL	Yes	1	$1,386.55
2003-03-11	Snow	PETERSHAM (TOWN OF)	No	1	$8,986.24
2003-03-11	Snow	PHILLIPSTON (TOWN OF)	No	1	$8,951.49
2003-03-11	Snow	PRINCETON (TOWN OF)	No	1	$14,704.76
2003-03-11	Snow	QUINSIGAMOND COMMUNITY COLLEGE	Yes	1	$8,730.49
2003-03-11	Snow	ROYALSTON (TOWN OF)	No	1	$10,876.08
2003-03-11	Snow	RUTLAND (TOWN OF)	No	1	$17,548.90
2003-03-11	Snow	SEVEN HILLS FOUNDATION	No	1	$7,494.99
2003-03-11	Snow	SHREWSBURY HOUSING AUTHORITY	No	1	$2,596.01
2003-03-11	Snow	SHREWSBURY (TOWN OF)	No	1	$51,552.80
2003-03-11	Snow	SOUTHBOROUGH	No	1	$30,516.73
2003-03-11	Snow	SOUTHBRIDGE (TOWN OF)	No	1	$31,421.81
2003-03-11	Snow	SPECTRUM HEALTH SYSTEMS, INC.	No	1	$1,234.65
2003-03-11	Snow	SPENCER EAST BROOKFIELD REGIONAL  SCHOOL DIST	Yes	1	$961.49
2003-03-11	Snow	SPENCER (TOWN OF)	No	1	$27,946.71
2003-03-11	Snow	STERLING (TOWN OF)	No	1	$17,878.16
2003-03-11	Snow	STURBRIDGE (TOWN OF)	No	1	$25,399.66
2003-03-11	Snow	SUTTON (TOWN OF)	No	1	$17,290.46
2003-03-11	Snow	TEMPLETON (TOWN OF)	No	1	$14,234.94
2003-03-11	Snow	UMASS MEMORIAL MEDICAL CTR.	No	1	$12,284.27
2003-03-11	Snow	UNIV OF MASS MEDICAL SCHOOL	Yes	1	$18,272.42
2003-03-11	Snow	UPTON (TOWN OF)	No	1	$21,687.09
2003-03-11	Snow	UXBRIDGE HOUSING AUTHORITY	No	1	$1,961.38
2003-03-11	Snow	UXBRIDGE (TOWN OF)	No	1	$46,128.47
2003-03-11	Snow	WARREN (TOWN OF)	No	1	$7,965.90
2003-03-11	Snow	WEBSTER HOUSING AUTHORITY	No	1	$1,522.71
2003-03-11	Snow	WEBSTER (TOWN OF)	No	1	$23,004.62
2003-03-11	Snow	WESTBOROUGH (TOWN OF)	No	1	$46,677.42
2003-03-11	Snow	WEST BOYLSTON, TOWN OF	No	1	$13,677.12
