Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2005-12-20	Severe Storm(s)	CLAIRE CITY, TOWN OF	No	3	$2,831.05
2005-12-20	Severe Storm(s)	CORONA, TOWN OF	No	3	$5,626.34
2005-12-20	Severe Storm(s)	NEW EFFINGTON, TOWN OF	No	3	$4,403.30
2005-12-20	Severe Storm(s)	PEEVER, TOWN OF	No	2	$1,549.78
2005-12-20	Severe Storm(s)	ROBERTS (COUNTY)	No	1	$3,646.41
2005-12-20	Severe Storm(s)	SISSETON, CITY OF	No	3	$8,827.82
2005-12-20	Severe Storm(s)	SISSETON-WAHPETON OYATE TRIBE	No	6	$214,349.53
2005-12-20	Severe Storm(s)	SUMMIT, TOWN OF	No	1	$5,302.65
2005-12-20	Severe Storm(s)	WILMOT, CITY OF	No	1	$7,673.17
2005-12-20	Severe Storm(s)	WILMOT SCHOOL DISTRICT 54-7	Yes	1	$1,346.52
