Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2002-07-19	Severe Storm(s)	BRIGHTON (TOWNSHIP OF)	No	20	$160,166.61
2002-07-19	Severe Storm(s)	CLEVELAND (TOWN OF)	No	2	$82,144.30
2002-07-19	Severe Storm(s)	DAY (TOWN OF)	No	9	$102,204.36
2002-07-19	Severe Storm(s)	EAU PLEINE (TOWNSHIP OF)	No	8	$85,246.34
2002-07-19	Severe Storm(s)	EMMET (TOWN OF)	No	1	$16,594.62
2002-07-19	Severe Storm(s)	GREEN VALLEY (TOWN OF)	No	15	$118,074.30
2002-07-19	Severe Storm(s)	HULL (TOWN OF)	No	1	$9,153.63
2002-07-19	Severe Storm(s)	MARATHON COUNTY HIGHWAY DEPT	No	15	$129,757.73
2002-07-19	Severe Storm(s)	MARATHON COUNTY SHERIFF'S DEPT	No	1	$7,079.96
2002-07-19	Severe Storm(s)	MCMILLAN (TOWN OF)	No	33	$410,234.28
2002-07-19	Severe Storm(s)	SPENCER (TOWNSHIP OF)	No	6	$110,729.82
2002-07-19	Severe Storm(s)	SPENCER, VILLAGE OF	No	2	$5,270.05
2002-07-19	Severe Storm(s)	STRATFORD AREA FIRE DEPT	No	1	$2,967.49
2002-07-19	Severe Storm(s)	STRATFORD, VILLAGE OF	No	6	$20,384.76
