Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2007-03-12	Snow	CLINTON CENTRAL SCHOOL CORPORATION	Yes	1	$2,198.58
2007-03-12	Snow	CLINTON COUNTY HIGHWAY DEPARTMENT	No	1	$12,728.31
2007-03-12	Snow	CLINTON COUNTY SHERIFF'S DEPARTMENT	No	1	$2,077.09
2007-03-12	Snow	CLINTON PRAIRIE SCHOOL CORPORATION	Yes	1	$3,555.29
2007-03-12	Snow	COLFAX, TOWN OF	No	2	$5,153.19
2007-03-12	Snow	FRANKFORT, CITY OF	No	5	$48,494.62
2007-03-12	Snow	KIRKLIN, TOWN OF	No	2	$3,001.13
2007-03-12	Snow	MULBERRY STREET DEPARTMENT	No	1	$9,077.22
2007-03-12	Snow	ROSSVILLE CONSOLIDATED SCHOOLCORPORATION	Yes	1	$1,065.07
2007-03-12	Snow	ROSSVILLE, TOWN OF	No	1	$2,299.77
