Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2008-01-30	Severe Storm(s)	CARROLL COUNTY REMC	No	1	$6,755.09
2008-01-30	Severe Storm(s)	INDIANA DEPARTMENT OF HOMELAND SECURITY	No	1	$170,328.00
2008-01-30	Severe Storm(s)	INDIANA DEPARTMENT OF NATURAL RESOURCES	No	2	$31,501.25
2008-01-30	Severe Storm(s)	INDIANA DEPARTMENT OF TRANSPORTATION	No	1	$94,040.15
2008-01-30	Severe Storm(s)	MILITARY DEPARTMENT OF INDIANA - INDIANA NATIONAL GUARD	No	1	$35,430.57
2008-01-30	Severe Storm(s)	MONON DITCH JOINT DRAINAGE BOARD	No	2	$115,774.29
2008-06-08	Severe Storm(s)	ADJUTANT GENERAL	No	7	$955,345.63
2008-06-08	Severe Storm(s)	AREA 10 COUNCIL ON AGING, MONROE & OWEN COUNTIES	No	2	$11,990.09
2008-06-08	Severe Storm(s)	BROOKVILLE LAKE REGIONAL WASTE DISTRICT	No	3	$10,879.64
2008-06-08	Severe Storm(s)	CATARACT LAKE WATER CORPORATION	No	3	$5,803.15
2008-06-08	Severe Storm(s)	INDIANA DEPARTMENT OF CORRECTION	No	8	$89,210.34
2008-06-08	Severe Storm(s)	INDIANA DEPARTMENT OF HOMELAND SECURITY	No	12	$5,303,901.53
2008-06-08	Severe Storm(s)	INDIANA DEPARTMENT OF NATURAL RESOURCES	No	108	$1,083,788.35
2008-06-08	Severe Storm(s)	INDIANA DEPARTMENT OF TRANSPORTATION	No	2	$485,096.89
2008-06-08	Severe Storm(s)	INDIANA DEPT. OF ENVIRONMENTAL MGMT.	No	4	$22,921.70
2008-06-08	Severe Storm(s)	INDIANA FAMILY & SOCIAL SERVICES ADMIN	No	1	$0.00
2008-06-08	Severe Storm(s)	INDIANA OFFICE OF TECHNOLOGY	No	2	$20,759.67
2008-06-08	Severe Storm(s)	INDIANA STATE DEPARTMENT OF HEALTH	No	2	$4,066.00
2008-06-08	Severe Storm(s)	INDIANA STATE DEPT OF AGRICULTURE	No	1	$1,089.26
2008-06-08	Severe Storm(s)	INDIANA STATE POLICE	No	2	$250,290.61
2008-06-08	Severe Storm(s)	INDIANA UNIVERSITY - BLOOMINGTON	Yes	22	$78,509.82
2008-06-08	Severe Storm(s)	INDIANA UTILITY REGULATORY COMMISSION	No	1	$1,196.78
2008-06-08	Severe Storm(s)	JAY COUNTY REMC	No	6	$92,777.77
2008-06-08	Severe Storm(s)	JOHNSON COUNTY REMC	No	4	$109,917.78
2008-06-08	Severe Storm(s)	NINEVEH TWP FIRE PROTECTION DISTRICT	No	1	$0.00
2008-06-08	Severe Storm(s)	PARKE COUNTY - REMC	No	3	$125,598.86
2008-06-08	Severe Storm(s)	RUSH SHELBY ENERGY	No	2	$246,008.78
2008-06-08	Severe Storm(s)	SOUTH CENTRAL COMMUNITY MENTAL HEALTH CENTERS, DBA CENTERSTONE	No	9	$209,446.53
2008-06-08	Severe Storm(s)	SOUTH CENTRAL INDIANA REMC	No	8	$508,371.74
2008-06-08	Severe Storm(s)	ST. PAUL MUNICIPAL WASTE AND WASTEWATER UTILITY	No	2	$5,712.54
2008-06-08	Severe Storm(s)	WABASH COUNTY REMC	No	1	$42,357.67
2008-06-08	Severe Storm(s)	WESTERN INDIANA REMC	No	2	$180,582.61
2008-06-08	Severe Storm(s)	WHITEWATER VALLEY REMC	No	1	$49,731.71
2008-09-23	Severe Storm(s)	ADJUTANT GENERAL	No	1	$73,746.01
2008-09-23	Severe Storm(s)	INDIANA DEPARTMENT OF CORRECTION	No	4	$7,723.14
2008-09-23	Severe Storm(s)	INDIANA DEPARTMENT OF HOMELAND SECURITY	No	2	$1,076,034.63
2008-09-23	Severe Storm(s)	INDIANA DEPARTMENT OF NATURAL RESOURCES	No	44	$800,116.62
2008-09-23	Severe Storm(s)	INDIANA DEPARTMENT OF TRANSPORTATION	No	8	$300,604.28
2008-09-23	Severe Storm(s)	INDIANA STATE POLICE	No	5	$53,773.54
2008-09-23	Severe Storm(s)	INDIANA UNIVERSITY - BLOOMINGTON	Yes	34	$100,177.67
2008-09-23	Severe Storm(s)	NORTHERN INDIANA COMMUTER TRANSPORTATION DISTRICT	No	2	$330,606.56
2008-09-23	Severe Storm(s)	RUSH SHELBY ENERGY	No	2	$199,314.43
2008-09-23	Severe Storm(s)	SOUTHERN INDIANA - REC	No	2	$220,605.65
2008-09-23	Severe Storm(s)	WESTERN INDIANA REMC	No	2	$62,668.32
2008-09-23	Severe Storm(s)	WHITEWATER VALLEY REMC	No	2	$166,818.38
