Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2005-04-19	Severe Storm(s)	ACCORD FIRE CO	No	1	$13,115.77
2005-04-19	Severe Storm(s)	BLOOMINGTON FIRE PROTECTION DEPT	No	1	$4,712.81
2005-04-19	Severe Storm(s)	CLARYVILLE FIRE DISTRICT	No	1	$2,352.76
2005-04-19	Severe Storm(s)	DENNING (TOWN OF)	No	29	$1,103,999.00
2005-04-19	Severe Storm(s)	ELLENVILLE FIRST AID	No	1	$4,022.09
2005-04-19	Severe Storm(s)	ELLENVILLE JOINT FIRE DEPT	No	1	$6,160.47
2005-04-19	Severe Storm(s)	ELLENVILLE, VILLAGE OF	No	2	$4,185.09
2005-04-19	Severe Storm(s)	ESOPUS (TOWN OF)	No	4	$16,236.89
2005-04-19	Severe Storm(s)	HARDENBURGH (TOWN OF)	No	16	$112,230.79
2005-04-19	Severe Storm(s)	HUGENOT HISTORICAL SOCIETY	No	1	$24,104.93
2005-04-19	Severe Storm(s)	HURLEY FIRE DEPT	No	2	$19,858.21
2005-04-19	Severe Storm(s)	HURLEY (TOWN OF)	No	7	$125,502.91
2005-04-19	Severe Storm(s)	KERHONKSON FIRE CO	No	1	$11,190.48
2005-04-19	Severe Storm(s)	KINGSTON	No	4	$25,702.76
2005-04-19	Severe Storm(s)	KINGSTON CITY SCHOOL DISTRICT	Yes	1	$4,679.88
2005-04-19	Severe Storm(s)	KINGSTON (TOWN OF)	No	3	$13,775.51
2005-04-19	Severe Storm(s)	LLOYD (TOWN OF)	No	1	$0.01
2005-04-19	Severe Storm(s)	MARBLETOWN (TOWN OF)	No	7	$22,725.60
2005-04-19	Severe Storm(s)	MT MARION FIRE DISTRICT	No	1	$1,715.64
2005-04-19	Severe Storm(s)	NAPANOCH FIRE DIST	No	1	$8,901.14
2005-04-19	Severe Storm(s)	NAPANOCH SEWER PLANT	No	4	$630,713.10
2005-04-19	Severe Storm(s)	NEW PALTZ FIRE DEPT	No	1	$3,737.78
2005-04-19	Severe Storm(s)	NEW PALTZ, VILLAGE OF	No	1	$42,307.36
2005-04-19	Severe Storm(s)	OLIVE FIRE DISTRICT	No	1	$2,770.79
2005-04-19	Severe Storm(s)	OLIVE (TOWN OF)	No	6	$64,676.28
2005-04-19	Severe Storm(s)	PHOENICIA FIRE DISTRICT	No	1	$2,965.64
2005-04-19	Severe Storm(s)	ROCHESTER (TOWN OF)	No	25	$558,261.52
2005-04-19	Severe Storm(s)	SAUGERTIES (TOWN OF)	No	6	$34,966.28
2005-04-19	Severe Storm(s)	SAUGERTIES, VILLAGE OF	No	5	$8,044.93
2005-04-19	Severe Storm(s)	SAWKILL FIRE DISTRICT	No	1	$925.78
2005-04-19	Severe Storm(s)	SHANDAKEN (TOWN OF)	No	66	$970,330.21
2005-04-19	Severe Storm(s)	ST REMY FIRE DISTRICT	No	1	$1,233.46
2005-04-19	Severe Storm(s)	ULSTER (COUNTY)	No	77	$2,709,090.78
2005-04-19	Severe Storm(s)	ULSTER (COUNTY), SHERIFF'S DEPT	No	1	$12,027.13
2005-04-19	Severe Storm(s)	ULSTER COUNTY SOIL AND WATER DIST	No	1	$28,874.18
2005-04-19	Severe Storm(s)	ULSTER HOSE FIRE DIST 5	No	1	$11,377.85
2005-04-19	Severe Storm(s)	ULSTER (TOWN OF)	No	11	$513,231.41
2005-04-19	Severe Storm(s)	WAWARSING (TOWN OF)	No	31	$616,262.07
2005-04-19	Severe Storm(s)	WOODSTOCK FIRE DISTRICT	No	1	$861.17
2005-04-19	Severe Storm(s)	WOODSTOCK (TOWN OF)	No	8	$80,648.61
2005-09-30	Hurricane	ULSTER (COUNTY)	No	1	$0.00
