Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2010-03-09	Severe Storm(s)	BALA (TOWNSHIP OF)	No	1	$53,498.36
2010-03-09	Severe Storm(s)	CENTER (TOWNSHIP OF)	No	1	$32,104.54
2010-03-09	Severe Storm(s)	FANCY CREEK (TOWNSHIP OF)	No	1	$28,664.27
2010-03-09	Severe Storm(s)	JACKSON (TOWNSHIP OF)	No	1	$39,226.22
2010-03-09	Severe Storm(s)	MANHATTAN	No	1	$1,780.37
2010-03-09	Severe Storm(s)	MANHATTAN (TOWNSHIP OF)	No	1	$16,159.64
2010-03-09	Severe Storm(s)	MAY DAY (TOWNSHIP OF)	No	1	$30,563.12
2010-03-09	Severe Storm(s)	RANDOLPH	No	1	$2,173.70
2010-03-09	Severe Storm(s)	RILEY (COUNTY)	No	1	$195,459.45
2010-03-09	Severe Storm(s)	SHERMAN (TOWNSHIP OF)	No	1	$41,007.11
2010-03-09	Severe Storm(s)	SWEDE CREEK (TOWNSHIP OF)	No	1	$39,676.39
2010-03-09	Severe Storm(s)	WILDCAT (TOWNSHIP OF)	No	1	$12,435.21
2010-03-09	Severe Storm(s)	ZEANDALE (TOWNSHIP OF)	No	1	$43,696.52
2010-08-10	Severe Storm(s)	GRANT (TOWNSHIP OF)	No	1	$23,756.42
2010-08-10	Severe Storm(s)	MANHATTAN	No	5	$100,086.79
2010-08-10	Severe Storm(s)	MANHATTAN (TOWNSHIP OF)	No	1	$2,364.53
2010-08-10	Severe Storm(s)	OGDEN (RR NAME OGDENSBURG)	No	3	$33,585.32
2010-08-10	Severe Storm(s)	RILEY CO POLICE DEPARTMENT	No	2	$3,474.40
2010-08-10	Severe Storm(s)	RILEY COUNTY PUBLIC WORKS	No	5	$53,393.25
2010-08-10	Severe Storm(s)	WILDCAT (TOWNSHIP OF)	No	1	$8,697.68
