Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2009-02-05	Severe Ice Storm	DAWSON SPRINGS	No	7	$83,377.91
2009-02-05	Severe Ice Storm	EARLINGTON	No	6	$315,981.15
2009-02-05	Severe Ice Storm	HOPKINS (COUNTY)	No	8	$243,013.64
2009-02-05	Severe Ice Storm	HOPKINS COUNTY BOARD OF ED	Yes	3	$75,746.12
2009-02-05	Severe Ice Storm	HOPKINS COUNTY HEALTH DEPT	No	1	$2,895.85
2009-02-05	Severe Ice Storm	HOUSING AUTHORITY OF MADISONVILLE	No	1	$10,875.00
2009-02-05	Severe Ice Storm	MADISONVILLE	No	5	$1,801,718.52
2009-02-05	Severe Ice Storm	MORTON (RR NAME FOR MORTONS GAP)	No	3	$17,864.67
2009-02-05	Severe Ice Storm	NEBO WATER DISTRICT	No	2	$17,984.99
2009-02-05	Severe Ice Storm	NORTH HOPKINS WATER	No	3	$27,873.16
2009-02-05	Severe Ice Storm	NORTONVILLE	No	3	$49,488.27
2009-02-05	Severe Ice Storm	ST. CHARLES	No	2	$2,361.71
2009-02-05	Severe Ice Storm	WHITE PLAINS	No	3	$31,722.08
