Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2002-09-10	Tornado	DEWEY, TOWN OF	No	2	$1,327.02
2002-09-10	Tornado	FLAMBEAU (TOWN OF)	No	2	$1,614.47
2002-09-10	Tornado	GRANT (TOWN OF)	No	3	$10,770.01
2002-09-10	Tornado	GROW (TOWN OF)	No	2	$6,371.49
2002-09-10	Tornado	LADYSMITH, CITY OF	No	16	$700,567.52
2002-09-10	Tornado	LADYSMITH-HAWKINS SCHOOL DIST	Yes	4	$1,392.30
2002-09-10	Tornado	LAWRENCE (TOWN OF)	No	2	$3,131.51
2002-09-10	Tornado	RUSK (COUNTY)	No	5	$117,189.96
2002-09-10	Tornado	RUSK (COUNTY) / RUSK COUNTY MEMORIAL HOSPITAL, RUSK COUNTY MEMORIAL HOSPITAL	No	2	$5,191.90
2002-09-10	Tornado	RUSK COUNTY SHERIFF'S OFFICE	No	3	$137,942.24
2002-09-10	Tornado	TRUE (TOWN OF)	No	2	$1,645.58
