Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2008-08-11	Severe Storm(s)	EPSOM SCHOOL DISTRICT	Yes	1	$1,492.72
2008-08-11	Severe Storm(s)	EPSOM (TOWN OF)	No	4	$16,316.85
2008-08-11	Severe Storm(s)	NEW HAMPSHIRE ELECTRIC CO-OP	No	1	$470,859.25
2008-08-11	Severe Storm(s)	PITTSFIELD (TOWN OF)	No	2	$7,935.51
2008-08-11	Severe Storm(s)	WARNER (TOWN OF)	No	4	$13,804.72
2008-10-03	Severe Storm(s)	ALLENSTOWN (TOWN OF)	No	2	$4,568.38
2008-10-03	Severe Storm(s)	EPSOM (TOWN OF)	No	9	$14,873.37
2008-10-03	Severe Storm(s)	HOOKSETT (TOWN OF)	No	1	$98,939.26
2008-10-03	Severe Storm(s)	PEMBROKE (TOWN OF)	No	3	$7,697.96
2008-10-03	Severe Storm(s)	PITTSFIELD (TOWN OF)	No	4	$10,442.88
