Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2008-02-01	Severe Storm(s)	GRANT (TOWNSHIP OF)	No	1	$9,368.25
2008-02-01	Severe Storm(s)	KANSAS STATE UNIVERSITY	Yes	3	$73,044.61
2008-02-01	Severe Storm(s)	LEONARDVILLE, CITY OF	No	2	$21,424.04
2008-02-01	Severe Storm(s)	MANHATTAN, CITY OF	No	3	$312,278.37
2008-02-01	Severe Storm(s)	MANHATTAN (TOWNSHIP OF)	No	2	$12,667.12
2008-02-01	Severe Storm(s)	OGDEN, CITY OF	No	1	$13,695.05
2008-02-01	Severe Storm(s)	RANDOLPH, CITY OF	No	3	$5,709.69
2008-02-01	Severe Storm(s)	RILEY, CITY OF	No	3	$39,212.59
2008-02-01	Severe Storm(s)	RILEY COUNTY	No	4	$137,586.22
2008-02-01	Severe Storm(s)	RILEY COUNTY POLICE DEPT	No	1	$7,626.91
2008-02-01	Severe Storm(s)	SHERMAN TOWNSHIP	No	1	$7,080.00
2008-02-01	Severe Storm(s)	SWEDE CREEK TOWNSHIP	No	1	$6,510.00
2008-02-01	Severe Storm(s)	USD 378 RILEY COUNTY - GRADE SCHOOL	Yes	3	$11,341.02
2008-02-01	Severe Storm(s)	WILDCAT TOWNSHIP	No	2	$6,005.25
2008-02-01	Severe Storm(s)	ZEANDALE (TOWNSHIP OF)	No	1	$894.10
2008-07-09	Severe Storm(s)	MANHATTAN, CITY OF	No	7	$231,520.08
2008-07-09	Severe Storm(s)	MANHATTAN (TOWNSHIP OF)	No	3	$7,044.53
2008-07-09	Severe Storm(s)	RILEY CO LAW ENFORCEMENT AGENCY	No	3	$41,738.62
2008-07-09	Severe Storm(s)	RILEY COUNTY	No	10	$142,865.55
2008-07-09	Severe Storm(s)	RILEY COUNTY EMERGENCY MEDICAL SERVICES	No	1	$2,548.97
2008-07-09	Severe Storm(s)	USD 383 / MANHATTAN - OGDEN	No	11	$160,424.96
