Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
1999-05-21	Severe Storm(s)	DEPARTMENT OF CORRECTIONS, ANAMOSA STATE PENITENTIARY	No	1	$13,415.13
1999-05-21	Severe Storm(s)	IOWA COMMUNICATIONS NETWORK	No	1	$11,809.20
1999-05-21	Severe Storm(s)	IOWA DEPARTMENT OF HUMAN SERVICES, INDEPENDENCE MENTAL HEALTH INSTITUTE	No	1	$2,728.96
1999-05-21	Severe Storm(s)	IOWA DEPARTMENT OF NATURAL RESOURCES, BACKBONE STATE PARK	No	1	$52,229.41
1999-05-21	Severe Storm(s)	IOWA DEPARTMENT OF NATURAL RESOURCES, FISH & WILDLIFE DIVISION	No	2	$16,068.04
1999-05-21	Severe Storm(s)	IOWA DEPARTMENT OF NATURAL RESOURCES, GEORGE  WYTH STATE PARK	No	1	$7,324.18
1999-05-21	Severe Storm(s)	IOWA DEPARTMENT OF NATURAL RESOURCES, MINES OF SPAIN RECREATION AREA	No	1	$50,474.81
1999-05-21	Severe Storm(s)	IOWA DEPARTMENT OF NATURAL RESOURCES, VOLGA RIVER STATE RECREATION AREA	No	1	$8,631.14
1999-05-21	Severe Storm(s)	IOWA DEPARTMENT OF NATURAL RESOURCES, WAPSIPINICON STATE PARK	No	1	$6,944.45
1999-05-21	Severe Storm(s)	IOWA DEPARTMENT OF PUBLIC DEFENSE	No	1	$89,764.60
1999-05-21	Severe Storm(s)	IOWA DEPARTMENT OF PUBLIC HEALTH	No	1	$15,503.91
1999-05-21	Severe Storm(s)	IOWA DEPARTMENT OF PUBLIC SAFETY	No	2	$5,417.77
1999-05-21	Severe Storm(s)	IOWA DEPARTMENT OF TRANSPORTATION	No	7	$79,612.27
1999-05-21	Severe Storm(s)	IOWA EMERGENCY MANAGEMENT	No	13	$287,332.58
1999-07-22	Severe Storm(s)	DEPARTMENT OF CORRECTIONS	No	1	$9,075.70
1999-07-22	Severe Storm(s)	IOWA COMMUNICATIONS NETWORK	No	1	$18,770.56
1999-07-22	Severe Storm(s)	IOWA DEPARTMENT OF CORRECTIONS, ANAMOSA STATE PENITENTIARY	No	1	$3,062.96
1999-07-22	Severe Storm(s)	IOWA DEPARTMENT OF NATURAL RESOURCES, FISH & WILDLIFE DIVISION	No	2	$52,292.34
1999-07-22	Severe Storm(s)	IOWA DEPARTMENT OF NATURAL RESOURCES, GEORGE  WYTH STATE PARK	No	1	$16,268.10
1999-07-22	Severe Storm(s)	IOWA DEPARTMENT OF PUBLIC DEFENSE	No	2	$90,718.99
1999-07-22	Severe Storm(s)	IOWA DEPARTMENT OF TRANSPORTATION	No	7	$25,124.24
1999-07-22	Severe Storm(s)	IOWA EMERGENCY MANAGEMENT	No	9	$291,716.32
1999-07-22	Severe Storm(s)	PIGEON DRAINAGE DISTRICT  8	No	1	$4,828.04
