Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2007-02-01	Severe Storm(s)	CHECOTAH, CITY OF	No	6	$328,997.03
2007-02-01	Severe Storm(s)	EUFAULA, CITY OF	No	9	$858,340.66
2007-02-01	Severe Storm(s)	FOUNTAINHEAD AREA IMPROVEMENT COUNCIL, INC.	No	2	$1,907.80
2007-02-01	Severe Storm(s)	HITCHITA FIRE DEPT	No	2	$5,140.40
2007-02-01	Severe Storm(s)	LOTAWATAH FIRE DEPT, TITLE 18	No	1	$3,106.46
2007-02-01	Severe Storm(s)	MCINTOSH CNTY. R.WAT.,SEW.,SOL.WASTE 2	No	3	$19,039.12
2007-02-01	Severe Storm(s)	MCINTOSH (COUNTY)	No	18	$588,178.83
2007-02-01	Severe Storm(s)	MCINTOSH COUNTY RURAL WATER DIST. 13, EUFAULA CLOSEST TOWN IN MCINTOSH COUNTY	No	1	$2,592.51
2007-02-01	Severe Storm(s)	MCINTOSH COUNTY RURAL WATER DIST. 6	No	2	$3,070.89
2007-02-01	Severe Storm(s)	MCINTOSH COUNTY RURAL WATER DIST. 8	No	1	$5,708.08
2007-02-01	Severe Storm(s)	MUSKOGEE COUNTY RURAL WATER DIST, DIST. 3	No	1	$3,991.83
2007-02-01	Severe Storm(s)	ONAPA FIRE DEPARTMENT, TITLES 18/19	No	2	$2,428.28
2007-02-01	Severe Storm(s)	PARADISE POINT FIRE DEPARTMENT, TITLE 18	No	2	$7,056.10
2007-02-01	Severe Storm(s)	PORUM LANDING FIRE PROTECTION ASSOC, TITLE 18	No	1	$6,095.07
2007-02-01	Severe Storm(s)	RENTIESVILLE, TOWN OF	No	1	$985.03
2007-02-01	Severe Storm(s)	SHADY GROVE CENTRAL HIGH FIRE DEPT, TITLE 18	No	2	$6,938.46
2007-02-01	Severe Storm(s)	TEXANNA AREA FIRE PROTECTION ASSOC, VOLUNTEER TITLE 18	No	3	$10,512.66
2007-02-01	Severe Storm(s)	VIVIAN AREA VOLUNTEER FIRE ASSOCIATION	No	1	$3,905.21
2007-06-07	Severe Storm(s)	EUFAULA, CITY OF	No	4	$2,872.73
2007-06-07	Severe Storm(s)	MCINTOSH (COUNTY)	No	8	$139,726.12
2007-07-07	Severe Storm(s)	EUFAULA, CITY OF	No	1	$4,025.33
2007-07-07	Severe Storm(s)	MCINTOSH (COUNTY)	No	51	$718,483.60
