Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2005-04-19	Severe Storm(s)	BLOOMING GROVE (TOWN OF)	No	4	$65,460.05
2005-04-19	Severe Storm(s)	CORNWALL CENTRAL SCHOOL DIST	Yes	4	$24,924.11
2005-04-19	Severe Storm(s)	CORNWALL ON HUDSON	No	5	$22,217.99
2005-04-19	Severe Storm(s)	CORNWALL (TOWN OF)	No	7	$40,419.17
2005-04-19	Severe Storm(s)	CRAWFORD (TOWN OF)	No	1	$37,143.30
2005-04-19	Severe Storm(s)	CRONOMER VALLEY FIRE DEPT	No	1	$4,222.84
2005-04-19	Severe Storm(s)	CUDDEBACKVILLE FIRE DEPT	No	1	$5,408.32
2005-04-19	Severe Storm(s)	DEERPARK (TOWN OF)	No	27	$436,200.68
2005-04-19	Severe Storm(s)	GOSHEN TOWN POLICE DEPT	No	1	$1,238.13
2005-04-19	Severe Storm(s)	GREENVILLE FIRE DEPT	No	1	$2,418.25
2005-04-19	Severe Storm(s)	GREENVILLE (TOWN OF)	No	4	$29,396.14
2005-04-19	Severe Storm(s)	GREENWOOD LAKE	No	1	$16,631.33
2005-04-19	Severe Storm(s)	GREENWOOD LAKE UNION FREE SCHL	Yes	2	$6,166.93
2005-04-19	Severe Storm(s)	HARRIMAN, VILLAGE OF	No	1	$2,314.40
2005-04-19	Severe Storm(s)	HIGHLAND FALLS	No	5	$15,870.45
2005-04-19	Severe Storm(s)	HIGHLANDS (TOWN OF)	No	1	$3,484.48
2005-04-19	Severe Storm(s)	HOWELLS FIRE DISTRICT	No	1	$1,087.78
2005-04-19	Severe Storm(s)	HUGUENOT FIRE COMPANY, INC.	No	1	$7,418.22
2005-04-19	Severe Storm(s)	JOHNSON FIRE DEPT	No	1	$908.69
2005-04-19	Severe Storm(s)	KIRYAS JOEL, VILLAGE OF	No	3	$116,282.00
2005-04-19	Severe Storm(s)	MIDDLETOWN CITY SCHOOL DISTRICT	Yes	1	$0.00
2005-04-19	Severe Storm(s)	MINISINK (TOWN OF)	No	1	$6,642.42
2005-04-19	Severe Storm(s)	MONROE, VILLAGE OF	No	1	$11,216.27
2005-04-19	Severe Storm(s)	MONTGOMERY (TOWN OF)	No	6	$10,999.46
2005-04-19	Severe Storm(s)	MONTGOMERY, VILLAGE OF	No	3	$4,442.48
2005-04-19	Severe Storm(s)	MOUNT HOPE (TOWN OF)	No	9	$216,497.36
2005-04-19	Severe Storm(s)	NEWBURGH (CITY OF)	No	2	$0.00
2005-04-19	Severe Storm(s)	NEWBURGH (TOWN OF)	No	1	$15,244.54
2005-04-19	Severe Storm(s)	ORANGE (COUNTY)	No	1	$35,787.17
2005-04-19	Severe Storm(s)	ORANGE (COUNTY), DEPT. OF PUBLIC WORKS	No	7	$227,314.26
2005-04-19	Severe Storm(s)	ORANGE (COUNTY), PARKS, RECREATION, & CONS.	No	6	$18,932.22
2005-04-19	Severe Storm(s)	PORT JERVIS (CITY OF)	No	14	$322,522.01
2005-04-19	Severe Storm(s)	PORT JERVIS CITY SCHOOL DIST	Yes	12	$111,954.97
2005-04-19	Severe Storm(s)	ROCKLAND PARAMEDIC SVS,INC.D/B/A/ REGIONAL EMS	No	1	$30,208.19
2005-04-19	Severe Storm(s)	SLATE HILL FIRE DEPT	No	1	$1,004.85
2005-04-19	Severe Storm(s)	SPARROWBUSH FIRE DEPT	No	1	$2,887.53
2005-04-19	Severe Storm(s)	WALDEN FIRE DIST	No	1	$1,020.99
2005-04-19	Severe Storm(s)	WALDEN, VILLAGE OF	No	1	$32,433.62
2005-04-19	Severe Storm(s)	WALLKILL (TOWN OF)	No	6	$22,357.12
2005-04-19	Severe Storm(s)	WARWICK FIRE DEPT	No	1	$9,373.61
2005-04-19	Severe Storm(s)	WARWICK POLICE DEPT	No	1	$2,661.49
2005-04-19	Severe Storm(s)	WARWICK (TOWN OF)	No	27	$594,186.87
2005-04-19	Severe Storm(s)	WARWICK, VILLAGE OF	No	1	$16,049.60
2005-04-19	Severe Storm(s)	WAWAYANDA (TOWN OF)	No	4	$57,633.27
2005-04-19	Severe Storm(s)	WOODBURY (TOWN OF)	No	15	$118,970.20
