Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2007-03-14	Severe Storm(s)	ALTOONA, CITY OF	No	3	$40,670.54
2007-03-14	Severe Storm(s)	ANKENY, CITY OF	No	3	$88,977.72
2007-03-14	Severe Storm(s)	BONDURANT, CITY OF	No	2	$7,090.75
2007-03-14	Severe Storm(s)	CLIVE, CITY OF	No	2	$34,310.76
2007-03-14	Severe Storm(s)	DES MOINES, CITY OF	No	8	$262,617.73
2007-03-14	Severe Storm(s)	GRIMES, CITY OF	No	2	$18,959.22
2007-03-14	Severe Storm(s)	JOHNSTON, CITY OF	No	2	$39,525.04
2007-03-14	Severe Storm(s)	MITCHELLVILLE, CITY OF	No	2	$3,714.67
2007-03-14	Severe Storm(s)	POLK CITY, CITY OF	No	2	$18,030.41
2007-03-14	Severe Storm(s)	POLK COUNTY CONSERVATION	No	1	$18,381.68
2007-03-14	Severe Storm(s)	POLK COUNTY PUBLIC WORKS	No	2	$175,776.69
2007-03-14	Severe Storm(s)	URBANDALE, CITY OF	No	4	$71,569.83
2007-03-14	Severe Storm(s)	WEST DES MOINES, CITY OF	No	2	$108,175.85
2007-03-14	Severe Storm(s)	WINDSOR HEIGHTS, CITY OF	No	2	$17,830.87
