Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2011-06-15	Severe Storm(s)	DUXBURY (TOWN OF)	No	10	$707,124.44
2011-06-15	Severe Storm(s)	WATERBURY (TOWN OF)	No	2	$15,470.79
2011-06-15	Severe Storm(s)	WATERBURY, VILLAGE OF	No	1	$10,080.93
2011-07-08	Severe Storm(s)	BARRE, CITY OF	No	34	$907,907.67
2011-07-08	Severe Storm(s)	BARRE HOUSING AUTHORITY	No	1	$6,809.85
2011-07-08	Severe Storm(s)	BARRE (TOWN OF)	No	19	$219,855.84
2011-07-08	Severe Storm(s)	BERLIN (TOWN OF)	No	35	$576,127.90
2011-07-08	Severe Storm(s)	CABOT (TOWN OF)	No	25	$359,903.44
2011-07-08	Severe Storm(s)	EAST MONTPELIER (TOWN OF)	No	16	$192,849.74
2011-07-08	Severe Storm(s)	GOOD SAMARITAN HAVEN	No	1	$2,682.51
2011-07-08	Severe Storm(s)	MARSHFIELD (TOWN OF)	No	38	$389,254.57
2011-07-08	Severe Storm(s)	MIDDLESEX (TOWN OF)	No	3	$43,665.53
2011-07-08	Severe Storm(s)	MONTPELIER, CITY OF	No	20	$275,628.88
2011-07-08	Severe Storm(s)	MONTPELIER SD	No	1	$107,932.50
2011-07-08	Severe Storm(s)	MORETOWN (TOWN OF)	No	3	$22,692.08
2011-07-08	Severe Storm(s)	NORTHEAST WASHINGTON COMMUNITY HEALTH	No	2	$24,453.45
2011-07-08	Severe Storm(s)	NORTHFIELD (TOWN OF)	No	27	$207,709.60
2011-07-08	Severe Storm(s)	NORTHFIELD, VILLAGE OF	No	4	$10,311.45
2011-07-08	Severe Storm(s)	PEOPLE'S HEALTH AND WELLNESS CLINIC	No	4	$11,035.48
2011-07-08	Severe Storm(s)	PLAINFIELD (TOWN OF)	No	22	$480,022.39
2011-07-08	Severe Storm(s)	ROXBURY (TOWN OF)	No	7	$12,962.36
2011-07-08	Severe Storm(s)	WASHINGTON ELECTRIC CO - OP	No	3	$59,646.93
2011-09-01	Hurricane	BARRE, CITY OF	No	4	$76,769.49
2011-09-01	Hurricane	BARRE (TOWN OF)	No	4	$52,229.82
2011-09-01	Hurricane	BERLIN (TOWN OF)	No	22	$447,722.90
2011-09-01	Hurricane	CHITTENDEN COUNTY TRANSPORTATION AUTHORITY	No	3	$529,243.08
2011-09-01	Hurricane	DUXBURY (TOWN OF)	No	6	$613,375.90
2011-09-01	Hurricane	EAST MONTPELIER (TOWN OF)	No	1	$32,134.75
2011-09-01	Hurricane	FAYSTON (TOWN OF)	No	1	$11,264.10
2011-09-01	Hurricane	MAD RIVER SOLID WASTE ALLIANCE	No	1	$25,983.00
2011-09-01	Hurricane	MARSHFIELD (TOWN OF)	No	8	$57,489.14
2011-09-01	Hurricane	MIDDLESEX (TOWN OF)	No	2	$28,632.00
2011-09-01	Hurricane	MONTPELIER, CITY OF	No	1	$9,275.36
2011-09-01	Hurricane	MONTPELIER PUBLIC SCHOOLS/REC. DEPARTMENT	Yes	1	$10,469.71
2011-09-01	Hurricane	MORETOWN SCHOOL DISTRICT	Yes	1	$900.00
2011-09-01	Hurricane	MORETOWN (TOWN OF)	No	31	$1,899,704.56
2011-09-01	Hurricane	NORTHFIELD (TOWN OF)	No	43	$1,222,961.18
2011-09-01	Hurricane	NORTHFIELD, VILLAGE OF	No	5	$75,456.03
2011-09-01	Hurricane	PLAINFIELD (TOWN OF)	No	6	$22,940.43
2011-09-01	Hurricane	ROXBURY (TOWN OF)	No	34	$1,728,120.06
2011-09-01	Hurricane	THE HOUSING FOUNDATION, INC.	No	8	$125,054.37
2011-09-01	Hurricane	WAITSFIELD (TOWN OF)	No	23	$175,567.39
2011-09-01	Hurricane	WARREN (TOWN OF)	No	15	$416,747.45
2011-09-01	Hurricane	WASHINGTON ELECTRIC CO - OP	No	3	$102,126.42
2011-09-01	Hurricane	WATERBURY (TOWN OF)	No	13	$290,183.39
2011-09-01	Hurricane	WATERBURY, VILLAGE OF	No	7	$97,397.87
2011-09-01	Hurricane	WOODBURY (TOWN OF)	No	6	$299,210.93
2011-09-01	Hurricane	WOODBURY VOLUNTEER FIRE DEPARTMENT, INC.	No	2	$1,740.88
2011-09-01	Hurricane	WORCESTER (TOWN OF)	No	6	$29,801.79
2011-11-08	Severe Storm(s)	FAYSTON (TOWN OF)	No	4	$27,975.98
2011-11-08	Severe Storm(s)	WAITSFIELD (TOWN OF)	No	15	$192,096.19
