Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2006-01-11	Fire	ADJUTANT GENERAL'S DEPARTMENT	No	5	$614,772.28
2006-01-11	Fire	STATE OF TEXAS - GOVERNOR'S DIVISION OF EMERGENCY MANAGEMENT	No	2	$143,595.82
2006-01-11	Fire	TEXAS ANIMAL HEALTH COMMISSION	No	1	$9,664.35
2006-01-11	Fire	TEXAS COMMISSION ON ENVIRONMENTAL QUALITY	No	2	$77,475.78
2006-01-11	Fire	TEXAS DEPARTMENT OF CRIMINAL JUSTICE	No	1	$12,015.07
2006-01-11	Fire	TEXAS DEPARTMENT OF PUBLIC SAFETY	No	9	$133,316.63
2006-01-11	Fire	TEXAS DEPARTMENT OF TRANSPORTATION	No	14	$216,052.28
2006-01-11	Fire	TEXAS FOREST SERVICE	No	16	$28,341,995.41
2006-08-15	Severe Storm(s)	ADJUTANT GENERAL'S DEPARTMENT	No	1	$80,591.96
2006-08-15	Severe Storm(s)	STATE OF TEXAS - GOVERNOR'S DIVISION OF EMERGENCY MANAGEMENT	No	7	$167,464.45
2006-08-15	Severe Storm(s)	TEXAS DEPARTMENT OF CRIMINAL JUSTICE	No	1	$3,523.27
2006-08-15	Severe Storm(s)	TEXAS DEPARTMENT OF TRANSPORTATION	No	2	$239,867.38
2006-08-15	Severe Storm(s)	TEXAS FOREST SERVICE	No	1	$4,807.74
2006-08-15	Severe Storm(s)	TEXAS PARKS AND WILDLIFE DEPARTMENT	No	2	$30,468.80
2006-08-15	Severe Storm(s)	UNIVERSITY OF TEXAS AT EL PASO	Yes	26	$489,561.99
