Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2005-02-15	Severe Storm(s)	AUBURN, TOWNSHIP OF	No	5	$89,452.29
2005-02-15	Severe Storm(s)	BOLIVAR VOLUNTEER FIRE DEPT.	No	1	$5,173.21
2005-02-15	Severe Storm(s)	CLAY ,TOWNSHIP OF	No	5	$91,653.64
2005-02-15	Severe Storm(s)	DOVER, CITY OF	No	4	$211,249.76
2005-02-15	Severe Storm(s)	DOVER, TOWNSHIP OF	No	3	$44,593.74
2005-02-15	Severe Storm(s)	GNADENHUTTEN, VILLAGE OF	No	1	$5,613.44
2005-02-15	Severe Storm(s)	JEFFERSON, TOWNSHIP OF	No	2	$28,568.95
2005-02-15	Severe Storm(s)	LAWRENCE, TOWNSHIP OF	No	3	$49,030.29
2005-02-15	Severe Storm(s)	MINERAL CITY, VILLAGE OF	No	4	$18,414.31
2005-02-15	Severe Storm(s)	MINERAL CITY VOL. FIRE DEPT.	No	2	$1,905.34
2005-02-15	Severe Storm(s)	OXFORD, TOWNSHIP OF	No	1	$4,468.60
2005-02-15	Severe Storm(s)	RUSH, TOWNSHIP OF	No	7	$25,684.33
2005-02-15	Severe Storm(s)	SALEM, TOWNSHIP OF	No	3	$26,604.16
2005-02-15	Severe Storm(s)	SANDY, TOWNSHIP OF	No	9	$31,007.90
2005-02-15	Severe Storm(s)	SUGAR CREEK, TOWNSHIP OF	No	3	$31,412.36
2005-02-15	Severe Storm(s)	SUGARCREEK, VILLAGE OF	No	1	$1,543.47
2005-02-15	Severe Storm(s)	TUSCARAWAS COUNTY COMMISSIONERS	No	2	$23,854.08
2005-02-15	Severe Storm(s)	TUSCARAWAS COUNTY EMA	No	1	$2,835.08
2005-02-15	Severe Storm(s)	TUSCARAWAS COUNTY ENGINEER	No	30	$607,213.19
2005-02-15	Severe Storm(s)	TUSCARAWAS COUNTY SHERIFF	No	1	$3,803.59
2005-02-15	Severe Storm(s)	TUSCARAWAS VALLEY LOCAL SCHL DIST	Yes	1	$1,000.56
2005-02-15	Severe Storm(s)	UNION, TOWNSHIP OF	No	2	$39,270.26
2005-02-15	Severe Storm(s)	WARREN, TOWNSHIP OF	No	5	$21,560.60
2005-02-15	Severe Storm(s)	WARWICK, TOWNSHIP OF	No	1	$2,443.84
2005-02-15	Severe Storm(s)	WASHINGTON, TOWNSHIP OF	No	2	$20,468.81
2005-02-15	Severe Storm(s)	YORK, TOWNSHIP OF	No	1	$48,049.15
2005-02-15	Severe Storm(s)	ZOAR, VILLAGE OF	No	1	$3,645.14
2005-02-15	Severe Storm(s)	ZOAR VOLUNTEER FIRE DEPT	No	2	$6,202.25
