Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2007-02-01	Severe Storm(s)	ATOKA, CITY OF	No	3	$7,547.64
2007-02-01	Severe Storm(s)	ATOKA (COUNTY)	No	6	$162,229.18
2007-06-07	Severe Storm(s)	ATOKA, CITY OF	No	2	$1,973.88
2007-06-07	Severe Storm(s)	ATOKA (COUNTY)	No	31	$72,573.14
2007-06-07	Severe Storm(s)	CANEY PUBLIC SCHOOL	Yes	1	$45,889.35
2007-06-07	Severe Storm(s)	LANE SCHOOL DISTRICT	Yes	1	$2,757.30
2007-06-07	Severe Storm(s)	STRINGTOWN PUBLIC SCHOOLS	Yes	1	$2,528.32
2007-07-07	Severe Storm(s)	ATOKA, CITY OF	No	1	$3,097.77
2007-07-07	Severe Storm(s)	ATOKA (COUNTY)	No	14	$74,768.61
2007-07-07	Severe Storm(s)	HARMONY PUBLIC SCHOOL	Yes	2	$8,570.31
2007-07-07	Severe Storm(s)	STRINGTOWN PUBLIC SCHOOL	Yes	3	$12,580.19
