Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2003-06-06	Severe Storm(s)	OFFICE OF CATHOLIC EDUCATION	Yes	1	$0.00
2003-06-06	Severe Storm(s)	WOMENS HOSPITAL AUXILIARY	No	1	$0.00
2003-06-06	Severe Storm(s)	AMERICAN SAMOA COMMUNITY COLLEGE	Yes	2	$3,905.17
2003-06-06	Severe Storm(s)	AMERICAN SAMOA GOVERNMENT	No	3	$74,814.80
2003-06-06	Severe Storm(s)	AMERICAN SAMOA POWER AUTHORITY	No	31	$490,044.88
2003-06-06	Severe Storm(s)	AMERICAN SAMOA TELECOMMUNICATIONS AUTHORITY	No	7	$124,081.60
2003-06-06	Severe Storm(s)	DEPARTMENT OF AGRICULTURE	No	3	$2,376.46
2003-06-06	Severe Storm(s)	DEPARTMENT OF EDUCATION	Yes	6	$371.96
2003-06-06	Severe Storm(s)	DEPARTMENT OF HUMAN AND SOCIAL SERVICES - DHSS	No	1	$0.00
2003-06-06	Severe Storm(s)	DEPARTMENT OF MARINE AND WILDLIFE RESOURCES (DMWR)	No	3	$0.00
2003-06-06	Severe Storm(s)	DEPARTMENT OF PARKS AND RECREATION	No	6	$24,519.51
2003-06-06	Severe Storm(s)	DEPARTMENT OF PORT ADMINISTRATION	No	5	$7,227.62
2003-06-06	Severe Storm(s)	DEPARTMENT OF PUBLIC SAFETY	No	1	$46,333.75
2003-06-06	Severe Storm(s)	DEPARTMENT OF PUBLIC WORKS	No	5	$13,797.21
2003-06-06	Severe Storm(s)	DISTRICT COURT OF AMERICAN SAMOA	No	2	$0.00
2003-06-06	Severe Storm(s)	LBJ TROPICAL MEDICAL CENTER	No	6	$245,751.75
2003-06-06	Severe Storm(s)	OFFICE OF PUBLIC INFORMATION/KVZK-TV	No	1	$15,618.69
2003-06-06	Severe Storm(s)	OFFICE OF SAMOAN AFFAIRS	No	51	$459,127.48
2003-06-06	Severe Storm(s)	TERRITORIAL EMERGENCY MGT PLANNING OFFICE (TEMCO)	No	1	$2,025.53
