Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2005-01-21	Severe Storm(s)	ALEXANDRIA, CITY OF	No	2	$46,967.77
2005-01-21	Severe Storm(s)	ANDERSON, CITY OF	No	19	$1,357,474.14
2005-01-21	Severe Storm(s)	ANDERSON COMMUNITY SCHOOL CORP	Yes	2	$39,547.36
2005-01-21	Severe Storm(s)	CHESTERFIELD, TOWN OF	No	3	$17,655.87
2005-01-21	Severe Storm(s)	CHESTERFIELD UNION TWP FIRE DEPARTMENT	No	1	$1,734.61
2005-01-21	Severe Storm(s)	COMMUNITY HOSPITAL OF ANDERSON	No	2	$13,124.76
2005-01-21	Severe Storm(s)	EDGEWOOD, TOWN OF	No	1	$1,626.96
2005-01-21	Severe Storm(s)	ELWOOD, CITY OF	No	4	$56,101.61
2005-01-21	Severe Storm(s)	FRANKTON, TOWN OF	No	2	$45,004.83
2005-01-21	Severe Storm(s)	MADISON, COUNTY OF	No	2	$192,581.18
2005-01-21	Severe Storm(s)	ORESTES, TOWN OF	No	3	$7,533.55
2005-01-21	Severe Storm(s)	SUMMITVILLE FIRE DEPT	No	1	$4,019.37
2005-01-21	Severe Storm(s)	SUMMITVILLE, TOWN OF	No	2	$18,648.22
2005-01-11	Snow	ALEXANDRIA, CITY OF	No	1	$4,312.00
2005-01-11	Snow	ANDERSON, CITY OF	No	1	$30,924.86
2005-01-11	Snow	ANDERSON COMMUNITY SCHOOL CORPORATION	Yes	1	$4,130.05
2005-01-11	Snow	CHESTERFIELD, TOWN OF	No	1	$2,680.21
2005-01-11	Snow	EDGEWOOD, TOWN OF	No	1	$1,032.18
2005-01-11	Snow	ELWOOD, CITY OF	No	1	$7,292.12
2005-01-11	Snow	MADISON, COUNTY OF	No	1	$37,474.63
2005-01-11	Snow	PENDLETON, TOWN OF	No	1	$3,569.11
