Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2012-07-23	Severe Storm(s)	BIRCH RIVER PUBLIC SERVICE DISTRICT	No	1	$790.80
2012-07-23	Severe Storm(s)	CRAIGSVILLE-BEAVER-COTTLE FIRE DEPT	No	1	$187.50
2012-07-23	Severe Storm(s)	CRAIGSVILLE WATER DEPARTMENT	No	1	$26,834.04
2012-07-23	Severe Storm(s)	FENWICK MOUNTAIN PUBLIC SERVICE DISTRICT	No	1	$2,730.00
2012-07-23	Severe Storm(s)	GAULEY RIVER PUBLIC SERVICE DISTRICT	No	2	$7,401.97
2012-07-23	Severe Storm(s)	NETTIE-LEIVASY PUBLIC SERVICE DISTRICT	No	2	$21,418.44
2012-07-23	Severe Storm(s)	NICHOLAS/CLAY 911	No	1	$1,625.33
2012-07-23	Severe Storm(s)	NICHOLAS COUNTY HEALTH DEPARTMENT	No	1	$4,302.26
2012-07-23	Severe Storm(s)	NICHOLAS COUNTY SHERIFF'S OFC	No	1	$1,250.21
2012-07-23	Severe Storm(s)	RICHWOOD	No	1	$7,958.82
2012-07-23	Severe Storm(s)	RICHWOOD FIRE DEPARTMENT	No	2	$11,325.19
2012-07-23	Severe Storm(s)	RICHWOOD WATER WORKS	No	1	$2,994.39
2012-07-23	Severe Storm(s)	SUMMERSVILLE	No	2	$1,614.76
2012-07-23	Severe Storm(s)	SUMMERSVILLE POLICE DEPT	No	1	$5,137.01
2012-07-23	Severe Storm(s)	SUMMERSVILLE REGIONAL MEDICAL CENTER	No	1	$4,211.63
2012-07-23	Severe Storm(s)	SUMMERSVILLE WATER PLANT	No	1	$12,931.01
2012-07-23	Severe Storm(s)	TIOGA WATER WORKS	No	1	$846.00
2012-07-23	Severe Storm(s)	WILDERNESS FIRE DEPARTMENT	No	1	$9,357.68
2012-07-23	Severe Storm(s)	WILDERNESS PUBLIC SVC DISTRICT	No	1	$10,993.83
