Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2010-05-13	Flood	BRITTON	No	2	$29,159.58
2010-05-13	Flood	BUFFALO (TOWNSHIP OF)	No	1	$2,949.00
2010-05-13	Flood	DAYTON (TOWNSHIP OF)	No	1	$2,473.38
2010-05-13	Flood	DUMARCE (TOWNSHIP OF)	No	1	$3,072.84
2010-05-13	Flood	EDEN (TOWNSHIP OF)	No	4	$17,350.65
2010-05-13	Flood	FORT (TOWNSHIP OF)	No	1	$6,000.35
2010-05-13	Flood	HAMILTON (TOWNSHIP OF)	No	1	$9,605.85
2010-05-13	Flood	HICKMAN (TOWNSHIP OF)	No	3	$51,014.11
2010-05-13	Flood	LAKE (TOWNSHIP OF)	No	1	$3,908.09
2010-05-13	Flood	LOWELL (TOWNSHIP OF)	No	1	$10,621.34
2010-05-13	Flood	MARSHALL (COUNTY)	No	7	$181,759.45
2010-05-13	Flood	MILLER (TOWNSHIP OF)	No	1	$40,961.42
2010-05-13	Flood	NEWARK (TOWNSHIP OF)	No	4	$41,424.87
2010-05-13	Flood	NEWPORT (TOWNSHIP OF)	No	5	$44,627.60
2010-05-13	Flood	NORDLAND (TOWNSHIP OF)	No	1	$4,203.95
2010-05-13	Flood	PLEASANT VALLEY (TOWNSHIP OF)	No	1	$19,460.50
2010-05-13	Flood	SISSETON (TOWNSHIP OF)	No	4	$30,183.67
2010-05-13	Flood	STENA (TOWNSHIP OF)	No	4	$40,367.57
2010-05-13	Flood	VEBLEN (TOWNSHIP OF)	No	4	$17,439.49
2010-05-13	Flood	WAVERLY (TOWNSHIP OF)	No	1	$9,784.37
2010-05-13	Flood	WESTON (TOWNSHIP OF)	No	2	$42,621.06
2010-05-13	Flood	WHITE (TOWNSHIP OF)	No	8	$33,795.66
