Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2008-05-27	Severe Storm(s)	ALLISON, CITY OF	No	5	$19,661.11
2008-05-27	Severe Storm(s)	APLINGTON, CITY OF	No	4	$12,384.59
2008-05-27	Severe Storm(s)	BUTLER CO. EMERGENCY MANAGEMENT AGENCY	No	4	$46,262.83
2008-05-27	Severe Storm(s)	BUTLER COUNTY	No	2	$60,741.64
2008-05-27	Severe Storm(s)	BUTLER COUNTY ASSESSOR	No	1	$0.00
2008-05-27	Severe Storm(s)	BUTLER COUNTY CONSERVATION	No	24	$859,906.49
2008-05-27	Severe Storm(s)	BUTLER COUNTY PUBLIC HEALTH	No	1	$5,755.63
2008-05-27	Severe Storm(s)	BUTLER COUNTY SECONDARY ROADS	No	31	$944,486.26
2008-05-27	Severe Storm(s)	BUTLER COUNTY SOLID WASTE	No	3	$69,731.11
2008-05-27	Severe Storm(s)	CLARKSVILLE, CITY OF	No	6	$95,543.92
2008-05-27	Severe Storm(s)	DUMONT, CITY OF	No	6	$6,332.70
2008-05-27	Severe Storm(s)	GREENE, CITY OF	No	23	$1,773,196.37
2008-05-27	Severe Storm(s)	NEW HARTFORD, CITY OF	No	25	$583,441.29
2008-05-27	Severe Storm(s)	NEW HARTFORD COMMUNITY SCHOOLS	Yes	9	$309,010.16
2008-05-27	Severe Storm(s)	PARKERSBURG, CITY OF	No	96	$9,232,634.85
2008-05-27	Severe Storm(s)	PARKERSBURG ECONOMIC DEVELOPMENT	No	2	$20,203.40
2008-05-27	Severe Storm(s)	PARKERSBURG SCHOOLS	Yes	16	$1,186,910.76
2008-05-27	Severe Storm(s)	SHELL ROCK, CITY OF	No	7	$150,721.84
