Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2008-06-25	Severe Storm(s)	DOUGLAS COMMUNITY SERVICES, INC.	No	4	$7,605.73
2008-06-25	Severe Storm(s)	HANNIBAL, CITY OF	No	11	$569,023.94
2008-06-25	Severe Storm(s)	MARION COUNTY	No	3	$9,560.48
2008-06-25	Severe Storm(s)	MARION COUNTY DRAINAGE DIST	No	6	$317,659.96
2008-06-25	Severe Storm(s)	MARION COUNTY EMERGENCY SERVICES BOARD	No	1	$1,352.61
2008-06-25	Severe Storm(s)	MARION COUNTY HEALTH DEPT	No	1	$0.00
2008-06-25	Severe Storm(s)	MARION COUNTY HIGHWAY DEPARTMENT	No	26	$245,985.33
2008-06-25	Severe Storm(s)	SOUTH RIVER DRAINAGE DISTRICT	No	5	$2,224,766.64
2008-06-25	Severe Storm(s)	SOUTH RIVER INDUSTRIAL LEVEE SUBDISTRICT	No	5	$1,965,249.02
2008-11-13	Severe Storm(s)	FABIUS RIVER DRAINAGE DISTRICT	No	1	$29,196.56
2008-11-13	Severe Storm(s)	MARION COUNTY DRAINAGE DIST	No	1	$12,795.00
2008-11-13	Severe Storm(s)	MARION COUNTY HIGHWAY DEPARTMENT	No	12	$70,359.74
2008-11-13	Severe Storm(s)	SOUTH RIVER DRAINAGE DISTRICT	No	1	$29,763.75
